xsec,nevents
8.29040E+10,1.00000E+04
8.26050E+10,1.00000E+04
8.23890E+10,1.00000E+04
8.28570E+10,1.00000E+04
8.12700E+10,1.00000E+04
8.27000E+10,1.00000E+04
8.27070E+10,1.00000E+04
8.23970E+10,1.00000E+04
8.27150E+10,1.00000E+04
8.25890E+10,1.00000E+04
8.07210E+10,1.00000E+04
8.07590E+10,1.00000E+04
8.26190E+10,1.00000E+04
8.22580E+10,1.00000E+04
8.27930E+10,1.00000E+04
8.27580E+10,1.00000E+04
8.26390E+10,1.00000E+04
8.26900E+10,1.00000E+04
8.24460E+10,1.00000E+04
8.08840E+10,1.00000E+04
8.28020E+10,1.00000E+04
8.23530E+10,1.00000E+04
8.28000E+10,1.00000E+04
8.25300E+10,1.00000E+04
8.21100E+10,1.00000E+04
8.23970E+10,1.00000E+04
8.24500E+10,1.00000E+04
8.25790E+10,1.00000E+04
8.08110E+10,1.00000E+04
8.26700E+10,1.00000E+04
3.22835E+10,1.00000E+04
8.25630E+10,1.00000E+04
8.21650E+10,1.00000E+04
8.25290E+10,1.00000E+04
8.23110E+10,1.00000E+04
8.25790E+10,1.00000E+04
8.21460E+10,1.00000E+04
8.24130E+10,1.00000E+04
8.23770E+10,1.00000E+04
8.25360E+10,1.00000E+04
8.27130E+10,1.00000E+04
8.16760E+10,1.00000E+04
8.23640E+10,1.00000E+04
7.91930E+10,1.00000E+04
8.23360E+10,1.00000E+04
8.04980E+10,1.00000E+04
8.27410E+10,1.00000E+04
8.21160E+10,1.00000E+04
8.22780E+10,1.00000E+04
8.25830E+10,1.00000E+04
8.23270E+10,1.00000E+04
8.22820E+10,1.00000E+04
8.23890E+10,1.00000E+04
8.30450E+10,1.00000E+04
8.24670E+10,1.00000E+04
8.26490E+10,1.00000E+04
8.07090E+10,1.00000E+04
8.22100E+10,1.00000E+04
8.24850E+10,1.00000E+04
8.21990E+10,1.00000E+04
8.28000E+10,1.00000E+04
8.23490E+10,1.00000E+04
8.04460E+10,1.00000E+04
8.26010E+10,1.00000E+04
8.24080E+10,1.00000E+04
8.24700E+10,1.00000E+04
8.25260E+10,1.00000E+04
8.09680E+10,1.00000E+04
8.25610E+10,1.00000E+04
8.23150E+10,1.00000E+04
8.26200E+10,1.00000E+04
7.42220E+10,1.00000E+04
8.26320E+10,1.00000E+04
8.24670E+10,1.00000E+04
8.17200E+10,1.00000E+04
8.11530E+10,1.00000E+04
8.24750E+10,1.00000E+04
8.25120E+10,1.00000E+04
7.94890E+10,1.00000E+04
8.23980E+10,1.00000E+04
8.23290E+10,1.00000E+04
8.24980E+10,1.00000E+04
8.24760E+10,1.00000E+04
8.22690E+10,1.00000E+04
8.22850E+10,1.00000E+04
8.24230E+10,1.00000E+04
7.79160E+10,1.00000E+04
8.19950E+10,1.00000E+04
8.25550E+10,1.00000E+04
8.27960E+10,1.00000E+04
7.98810E+10,1.00000E+04
3.35758E+10,1.00000E+04
8.23430E+10,1.00000E+04
8.26650E+10,1.00000E+04
8.24570E+10,1.00000E+04
8.28090E+10,1.00000E+04
8.23780E+10,1.00000E+04
8.26640E+10,1.00000E+04
8.22970E+10,1.00000E+04
8.22450E+10,1.00000E+04
8.25110E+10,1.00000E+04
8.22800E+10,1.00000E+04
8.22190E+10,1.00000E+04
8.23370E+10,1.00000E+04
8.22380E+10,1.00000E+04
8.24080E+10,1.00000E+04
8.26040E+10,1.00000E+04
8.26570E+10,1.00000E+04
8.27070E+10,1.00000E+04
8.06920E+10,1.00000E+04
8.24180E+10,1.00000E+04
8.05090E+10,1.00000E+04
8.22650E+10,1.00000E+04
8.27830E+10,1.00000E+04
3.37692E+10,1.00000E+04
8.27860E+10,1.00000E+04
8.26030E+10,1.00000E+04
8.26770E+10,1.00000E+04
8.23230E+10,1.00000E+04
8.26170E+10,1.00000E+04
8.23210E+10,1.00000E+04
8.23680E+10,1.00000E+04
8.24130E+10,1.00000E+04
8.25800E+10,1.00000E+04
8.27060E+10,1.00000E+04
8.24760E+10,1.00000E+04
8.25450E+10,1.00000E+04
8.18090E+10,1.00000E+04
8.26120E+10,1.00000E+04
8.30420E+10,1.00000E+04
8.27640E+10,1.00000E+04
8.22750E+10,1.00000E+04
7.63710E+10,1.00000E+04
8.11780E+10,1.00000E+04
8.13850E+10,1.00000E+04
